"question_id","item_id","date_created","status","from_id","question_text","answer_text","answer_date"
"13482088250","MLA1473986921","2025-12-08T07:09:14.979-04:00","ANSWERED","77777736","Hola! Sirve para el fiat siena HLX 1.8 brasilero que trae motor de Chevrolet año 2007? Gracias","Hola AFB1967, Gracias por tu consulta. Sí, este Cuerpo Mariposa es compatible con tu Fiat Siena HLX 1.8 brasilero con motor de Chevrolet, año 2007. Según la descripción del producto, es apto para los modelos Siena 1.8 8V a partir del año 2004 en adelante. Este cuerpo mariposa es de la marca OE Original Equipment, lo que garantiza una alta calidad y fiabilidad. Esperamos tu compra. Saludos, Tomi de TiendaLubbi.","2025-12-08T07:09:27.603-04:00"
"13482086142","MLA2406714726","2025-12-08T07:04:30.109-04:00","ANSWERED","115993240","Hola, tienen BLENDERs para vender aparte? Querría comprar 2 unidades adicionales del difuminador","Hola, MARCELOLOZANOWAEBER, Por el momento no tenemos publicación del blender (n°0) por separado; viene incluido en este set. Si ingresa stock como repuesto individual o en pack, lo vas a ver en nuestra tienda (Ver más publicaciones del vendedor y buscá “Kleur blender 0”). Si avanzás con la compra, dejá un mensaje en el chat de la orden y revisamos disponibilidad antes del despacho.. Saludos, Barbi de Tienda Lubbi","2025-12-08T07:06:04.921-04:00"
"13481404921","MLA2009267058","2025-12-08T04:26:05.324-04:00","ANSWERED","1148196434","Hola son fundas rellenas?","Hola, AGUIRRECLAUDIO20220623145459, No, no son fundas rellenas/acolchadas. Están confeccionadas en cuero sintético 100% sobre base textil, sin espuma interna. Ofrecen protección y un look premium, con ajuste por elásticos, ganchos y velcro para un calce prolijo. Incluyen 2 delanteras, 6 traseras, fundas de apoyacabezas y cubre volante de 36 cm. Si buscás fundas acolchadas, te invitamos a revisar nuestra página de Mercado Libre.. Saludos, Barbi de Tienda Lubbi","2025-12-08T04:30:11.148-04:00"
"13482039276","MLA2040622734","2025-12-08T00:37:42.791-04:00","ANSWERED","280490527","Hola necesito 4 inyectores para chevrolets S10 modelo 2007 electronica queria saber si estos son compatibles?","Hola, ALSE8470584, Sí, son compatibles con Chevrolet S10 2.8 MWM electrónica 2005–2012. Corroborá con los códigos OEM: 445110231, 0445110231, 93242272, 166102BB0A. La publicación es por unidad e incluye arandela; podés agregar 4 unidades al carrito según stock disponible. No requieren codificación específica (tecnología autoadaptativa).. Saludos, Barbi de Tienda Lubbi","2025-12-08T00:39:15.559-04:00"
"13482040668","MLA1549632315","2025-12-08T00:33:51.504-04:00","ANSWERED","1322547373","Hola buen día. Quería saber si van a reponer la publicación que tiene estos mismos marcadores acrílicos pero de 80 unidades. Desde ya, gracias.","Hola, MARTINEZMIRANDA20230303151355, Por ahora no tenemos confirmada la reposición del set acrílico de 80u. Esta publicación corresponde al de 60u con valija y repuestos. Si necesitás más cantidad, podés combinar dos estuches de 60 (el surtido es el mismo y habrá colores repetidos). Si vuelve la versión de 80u, aparecerá entre nuestras publicaciones activas.. Saludos, Barbi de Tienda Lubbi","2025-12-08T00:35:22.318-04:00"
"13481365445","MLA2498714252","2025-12-07T23:38:21.220-04:00","ANSWERED","65907637","Sse puede ver videos de YouTube?","Hola, NANDINHOFERCHU, No trae app de YouTube nativa (no es Android). Podés ver YouTube espejando la pantalla del celular por MirrorLink con cable, según compatibilidad del teléfono/OS. En CarPlay/Android Auto las apps de video suelen estar limitadas y no se muestran. Alternativas: reproducir videos guardados en USB o microSD. Usá video solo con el vehículo detenido.. Saludos, Barbi de Tienda Lubbi","2025-12-07T23:39:44.906-04:00"
"13481339705","MLA1918195928","2025-12-07T22:27:58.032-04:00","ANSWERED","1411019185","buenas, por las dudas no tienen el cuerpo mariposa para peugeot 206 1.4 nafta pero con acelerador a cable no electronico","Hola, SICR20231221072915, Este aviso es del cuerpo mariposa electrónico (ficha 6 pines); no sirve para acelerador a cable. Para la versión a cable del 206 1.4, ingresá a nuestra página de Mercado Libre (Tienda Lubbi) y buscá “cuerpo mariposa 206 1.4 cable” para verificar si está publicado con stock. No hacemos publicaciones personalizadas.. Saludos, Barbi de Tienda Lubbi","2025-12-07T22:29:26.003-04:00"
"13481981732","MLA2030681004","2025-12-07T21:44:01.813-04:00","ANSWERED","1722512154","Hola buenas, quería saber cómo seleccionar el modelo del carburador. Por qué no me aparece la opción de elegir","Hola MEL20240310185537, gracias por tu consulta. Entiendo tu pregunta sobre cómo seleccionar el modelo del carburador. Actualmente, en esta publicación, solo tenemos stock disponible para la variante de 34mm. Por eso, es probable que no te aparezca la opción de elegir otros tamaños, ya que MercadoLibre solo muestra las variantes que se encuentran en stock y listas para ser enviadas. El carburador HP Factory PWK de 34mm es apto para motores de 200CC a 250cc, tanto 2T como 4T. Incluye un chicler principal de 130 y un difusor de 35, con adicionales de 128/142 principal y 45 difusor para una puesta a punto más precisa. También viene con una manguera de admisión de 4 capas y dos abrazaderas de acero. Es un producto universal que se adapta fácilmente a diferentes motores. Si buscabas otra medida, lamentablemente en este momento las variantes de 28mm, 30mm y 32mm no tienen stock. Te invitamos a estar atento a nuestra tienda para futuras reposiciones. Esperamos tu compra. Saludos, Tomi de Tienda Lubbi.","2025-12-07T21:44:13.640-04:00"
"13481321179","MLA1513381865","2025-12-07T21:41:21.846-04:00","ANSWERED","2563971756","Gracias Tomi.","Hola FO20250715205420, De nada, estamos aquí para ayudarte. Si tenés alguna otra consulta sobre el Lápiz 3D Kleur o cualquier otro producto, no dudes en preguntar. Saludos, Tomi de TiendaLubbi.","2025-12-07T21:41:28.274-04:00"
"13481978866","MLA1513381865","2025-12-07T21:39:16.900-04:00","ANSWERED","2563971756","Ultima pregunta para si me quedo tranquilo... Cuando saco el filamento para guardarlo y usarlo en otro momento queda filamento porque soy un chico de 11 años y todavía no lo entiendo eso... gracias","Hola FO20250715205420, gracias por tu consulta. Cuando terminás de usar el lápiz 3D y querés guardar el filamento para otra ocasión, es completamente normal que quede una pequeña parte del filamento dentro del lápiz, en la boquilla o el mecanismo interno. Esto no es un problema y se espera que suceda. Para guardarlo y usarlo en otro momento: * Simplemente retirás la parte principal del filamento que sobresale del lápiz. * Guardá ese trozo de filamento en un lugar fresco y seco, preferiblemente en una bolsa o recipiente cerrado para protegerlo del polvo y la humedad. * El poquito filamento que queda dentro del lápiz no se desperdicia, ya que cuando vuelvas a encenderlo e introduzcas un nuevo filamento (o el mismo que guardaste), el lápiz empujará y usará ese pequeño residuo. * El set incluye una aguja de limpieza que te puede servir para limpiar la boquilla si alguna vez notás que queda algo obstruida, pero generalmente con el filamento PCL de baja temperatura no suele ser necesario después de cada uso. Así, podés estar tranquilo de que no hay problema si queda un poquito de filamento adentro, es parte del funcionamiento. Saludos, Tomi de TiendaLubbi.","2025-12-07T21:39:29.207-04:00"
